input_job_title,minimum_salary,Average_salary,maximum_salary
Marketing Coordinator,$36043,$51346,$73147
Customer Experience Associate,$35442,$59775,$100811
Assistant Director,$33580,$59293,$104694
Brand Marketing Intern,$14500,$20361,$32638
Intern,$27056,$44025,$71634
Marketing Assistant,$36350,$55107,$83541
Marketing Communications Intern,$22061,$37298,$63058
Instructor,$16848,$32110,$61259
Project Coordinator,$38286,$59781,$106345
Account Manager,$35934,$65844,$120647
Cosmetics Beauty Advisor,$25034,$35917,$51529
Production Assistant,$29592,$40565,$67812
Executive Assistant,$39511,$62577,$99108
Management Intern,$27629,$41754,$63101
Investor Relations Analyst,$46012,$72116,$113027
Event Marketing Specialist,$25575,$41957,$68832
Cashier,$23601,$32194,$43814
Sales Associate,$39979,$57420,$82470
Host,$29138,$43358,$64516
Administrative Coordinator,$36039,$49782,$68766
Office Coordinator,$34496,$47600,$65682
Digital Marketing Manager,$37189,$63780,$110086
Account Strategist,$47658,$74713,$117126
Senior Account Strategist,$61106,$88161,$130574
Media Strategy Supervisor,$54153,$83967,$130194
Director Of Media Strategy,$87729,$143751,$235547
Marketing Intern,$14500,$20361,$32638
Marketing Analyst,$45955,$67207,$98288
Account Coordinator,$35113,$48092,$65868
Paid Media Specialist,$46084,$67012,$97445
Social Media Marketing Intern,$23245,$35182,$53248
Summer Camp Assistant,$25014,$36733,$53943
Committee Member,$43096,$71427,$118382
Merchandiser,$54570,$72379,$97130
Event Coordinator,$47664,$66262,$93611
Ocean Lifeguard,$22533,$34387,$52478
Account Executive,$45232,$69214,$137558
News Editor,$36249,$63885,$112589
Creative Director,$60753,$110801,$202077
Marketing Director,$52406,$93475,$166728
Event Producer,$42819,$65029,$98759
Project Manager,$55614,$86342,$134047
Chief Operations Officer,$78544,$121821,$205291
Management Trainee,$37123,$51843,$72398
Assistant Manager,$26614,$34946,$45886
Branch Manager,$28238,$68097,$164220
Area Manager,$38716,$64790,$108434
Lifeguard,$22533,$34387,$52478
Web Content Specialist,$37302,$54931,$80891
Social Media Coordinator,$31506,$44908,$64011
Hostess,$29138,$43358,$64516
Administrative Assistant,$35159,$49748,$70391
Relationship Manager,$42394,$69826,$134388
Senior Relationship Manager,$72162,$118614,$194969
Digital Marketing Intern,$26384,$37193,$52428
Advertising Sales Representative,$29863,$59183,$117290
Cocktail Waitress,$18061,$33665,$62750
Licensed Real Estate Salesperson,$49434,$96796,$189536
Brand Manager,$64397,$94266,$142322
Business Developer,$41378,$70309,$119469
Department Head,$47689,$92444,$179201
Graphic Designer,$33668,$55775,$92400
Senior Marketing Coordinator,$48499,$65947,$89671
Marketing Manager,$46579,$73579,$116230
Senior Account Executive,$56559,$92293,$150604
Senior Analyst,$59451,$88955,$133102
Substitute Teacher,$24815,$38897,$60969
Undergraduate Research Assistant,$25681,$34398,$46073
Engagement Manager,$31489,$61413,$119772
Strategy Manager,$67382,$109847,$179074
Sales Agent,$36421,$71881,$141866
Reservations Agent,$28133,$38748,$53369
Assistant,$38682,$59121,$90359
Catering Sales Manager,$42085,$57389,$78258
Conference Services Manager,$45423,$64127,$90534
Event Assistant,$38104,$54278,$77317
Senior Brand Manager,$85640,$120332,$169076
Media Associate,$51048,$82190,$132331
Senior Account Manager,$46415,$88013,$166892
Public Relations Intern,$26235,$38978,$57910
Undergraduate Intern,$17056,$34025,$61634
Sales Representative,$36421,$71881,$141866
Coordinator,$47346,$70236,$91211
English Instructor,$35608,$54352,$82963
Translator,$26126,$56859,$123740
